part,desc,qty,price,ttl,link
DS3225 ,"for everything, 25kgcm, 0.16/60deg",22,314,6908,https://robocraze.com/products/mg995-servo-motor?variant=40193009844377&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22114711878&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22124708836&gbraid=0AAAAADgHQva7GPct2VBwibY0Ps2whnCan&gclid=CjwKCAjw9NjRBhATEiwA_p2J8fyfCZZmGzNgFxAwVK-kKShJdK8kxdWGXr2wjb4BxDKUWPzVETWDkhoCpBAQAvD_BwE
PCA9685,servo controller,2,229,458,https://robocraze.com/products/pca9685-16-channel-servo-motor-driversoldered?variant=40193677721753&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22271813913&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22271815110&gbraid=0AAAAADgHQvbRCQAneRgfhIrL3cwgGBJ1i&gclid=CjwKCAjw9NjRBhATEiwA_p2J8Ussv4AjHSbF3we0s__bxMhnXIQsjI1AeF8IU8sAR4VU9e8Yih4LbBoCilMQAvD_BwE
Pi Zero 2W,sbc,1,1800,1800,https://robu.in/product/raspberry-pi-zero-wireless-wh-pre-soldered-header/?gad_source=1&gad_campaignid=19974686076&gbraid=0AAAAADvLFWfilaeRoIpf1Zhw-a4jvq9JR&gclid=CjwKCAjw9NjRBhATEiwA_p2J8TmsN9BtCewVGM9-guF2q3LzmOM84BnVA0aSGHuS39w-1l9yYmwxcRoCuw8QAvD_BwE
HC-SR04,to detect person,2,84,168,https://robocraze.com/products/hc-sr-04-ultrasonic-sensor?variant=40192340983961&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=20040135259&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=20037396713&gbraid=0AAAAADgHQvbBscRH2VgDcYLGcL4VxQDf4&gclid=CjwKCAjw9NjRBhATEiwA_p2J8fILyuQp0alPb4l_ZWyChfdhSDpASvTzVYNJ86G90UfrexbVs52ghBoCG3YQAvD_BwE
speaker amp,to make speaker louder,1,58,58,https://robu.in/product/pam8403-mini-5v-digital-amplifier-board-switch-potentiometer/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfQZx7WR8BHqOuoPYe3OnUBD&gclid=CjwKCAjw9NjRBhATEiwA_p2J8e8Bdia4AinLFDL-oCJ8VaqUlM_9mSa34YutJ0ep4YccROpuVCVpNxoCK88QAvD_BwE
speaker ,speaker yk,1,224,224,https://www.flyrobo.in/4r-3w-40mm-mini-power-amplifier-speaker?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE8OP6QxygQu1YgTfEHvuoXvM&gclid=CjwKCAjw9NjRBhATEiwA_p2J8Y_nlPO9WjhgHIRgVkCFmycaJozD60Pu43_MoVcnaq6S6SRp2k84zxoCugsQAvD_BwE
2S LiPo 3000mAh 30C,battery ,1,2105,2105,https://robu.in/product/orange-3300mah-2s-25c-7-4v-lithium-polymer-battery-pack-lipo/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWec241wiDbVSfsvxTP1GU1hN&gclid=CjwKCAjw9NjRBhATEiwA_p2J8QfRUFMymuPi10cMQdzkV8GJucieyYF3xVOPT3E0-FK1QDpX1Q-ozRoCJKoQAvD_BwE
200W 20A buck converter,for servos,1,339,339,https://robu.in/product/200w-20a-dc-dc-buck-converter-step-down-module-constant-current-led-driver-module/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfQZx7WR8BHqOuoPYe3OnUBD&gclid=CjwKCAjw9NjRBhATEiwA_p2J8UMxopVFnEXkxwupqIastbhPqH0JtyCTWifNhDzURIzfG_TZ_7n_CxoCKJQQAvD_BwE
mini buck converter,for rpi,1,29,29,https://robu.in/product/mini-360-step-down-buck-converter-power-module/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfQZx7WR8BHqOuoPYe3OnUBD&gclid=CjwKCAjw9NjRBhATEiwA_p2J8eX-bBHwGp4mSQ8K51wUaUON2fliM5DPChpghh9z06WEaeBZ2DHbsRoCAgsQAvD_BwE
lipo charger,to charge lipo,1,336,336,https://robu.in/product/b3ac-compact-balance-charger-2s-3s-lipo/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWec241wiDbVSfsvxTP1GU1hN&gclid=CjwKCAjw9NjRBhATEiwA_p2J8b5Cce4fctb5TaoqZWzC87qpyc5H7hSLmNUpWcs9DFhiIcEmPtbDyBoCiYoQAvD_BwE
m2 bolts,"for servo horns, and screwing in the electronics",30,3,90,https://onlyscrews.in/products/m2-x-25mm-phillips-csk-ss-304-screw-dia-2mm-length-25mm
m2 nuts,same as above,30,1,30,https://onlyscrews.in/products/m2-hex-nut-mild-steel-dia-2mm
m2 nyloc nuts,same as above,15,6,90,https://onlyscrews.in/products/m2-nyloc-nuts-ss304-dia-2mm
servo extension wire,to extend the length of wire of servo,5,54,270,https://robocraze.com/products/robocraze-servo-extension-cable-60cm-female-to-female?variant=52665661948128&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22271813913&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22271815110&gbraid=0AAAAADgHQvbRCQAneRgfhIrL3cwgGBJ1i&gclid=CjwKCAjw9NjRBhATEiwA_p2J8WUI7npsKHxMytoF2K_cO7axAlzP1YYN48_ePrAFbHGzBgF3G8pWzBoCSJEQAvD_BwE
header pins,for soldering onto pi zero and amp,1,100,100,https://www.amazon.in/UNIVERSAL-HUB-2-54mm-Female-Connector/dp/B0DNMD4THF/ref=asc_df_B0DNMD4THF?mcid=946231cf1e283a82b8572a726ceb422c&tag=googleshopdes-21&linkCode=df0&hvadid=709963085501&hvpos=&hvnetw=g&hvrand=4004471868238720932&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9302750&hvtargid=pla-2428389979613&psc=1&hvocijid=4004471868238720932-B0DNMD4THF-&hvexpln=0&gad_source=1
zipties,for securing battery,5,0.8,4,https://onlyscrews.in/products/3-6mm-x-150mm-white-color-multi-purpose-self-locking-nylon-industrial-grade-cable-zip-tie?currency=INR&country=IN&variant=50926600945977&stkn=6e84ebfba1b8&utm_source=google&utm_medium=cpc&utm_campaign=inderans_campaign_copy&gad_source=1&gad_campaignid=22930701107&gbraid=0AAAAA9sP2SRMlcD-Z6w_Ac7lrMRiHrOE9&gclid=CjwKCAjwl97RBhBWEiwAa9rbXS1vHyVWyLvWI7r_EZxLtl2Yp4SmLj78pkS7o_XKIVgeSbLIpN265xoCvZUQAvD_BwE
(in inr₹) ,,,,13005,
